לנטוש|abandon
נעדר|absent
אבסטרקטי, מופשט, לא מוחשי|abstract
מפוזר, פזור דעת|absentminded
עומד לעשות משהו|about to
להיות שופע, להיות משופע ב-|abound
להיות שופע, להיות משופע ב-|abound
להיות שופע, להיות משופע ב-|abound
להיות שופע, להיות משופע ב-|abound
להיות שופע, להיות משופע ב-|abound
אבסולוטי, מוחלט|absolute
מפוזר, פזור דעת|absentminded
נעדר|absentee
עומד לעשות משהו|about to
ספיגה, קליטה|absorption
אבסטרקטי, מופשט, לא מוחשי|abstract
לספוג, לקלוט|absorb
בהחלט|absolutely
להיות שופע, להיות משופע ב-|abound
היעדרות; העדר, חוסר|absence
עומד לעשות משהו|about to
להיות שופע, להיות משופע ב-|abound
מפוזר, פזור דעת|absentminded
